dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
1layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.005, layer 2 
epoch 1 | train ACC 76.4706 % | test ACC 51.4706 % | train loss 0.0091
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
