dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
epoch 71 | train ACC 42.8571 % | test ACC 41.1111 % | train loss 0.0084
epoch 81 | train ACC 47.619 % | test ACC 37.7778 % | train loss 0.0072
epoch 91 | train ACC 57.1429 % | test ACC 48.8889 % | train loss 0.0066
epoch 101 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0071
epoch 111 | train ACC 52.381 % | test ACC 46.6667 % | train loss 0.0078
epoch 121 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0071
epoch 131 | train ACC 47.619 % | test ACC 56.6667 % | train loss 0.0073
epoch 141 | train ACC 57.1429 % | test ACC 52.2222 % | train loss 0.0061
epoch 151 | train ACC 57.1429 % | test ACC 47.7778 % | train loss 0.0076
epoch 161 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0066
epoch 171 | train ACC 57.1429 % | test ACC 52.2222 % | train loss 0.0066
epoch 181 | train ACC 52.381 % | test ACC 54.4444 % | train loss 0.0067
epoch 191 | train ACC 47.619 % | test ACC 54.4444 % | train loss 0.0078
7layers, Final test  ACC: 54.4444 %
hd:8, dp:0.4, wd:0.0005, layer 8 
epoch 1 | train ACC 33.3333 % | test ACC 34.4444 % | train loss 0.01
epoch 11 | train ACC 28.5714 % | test ACC 30.0 % | train loss 0.0099
epoch 21 | train ACC 52.381 % | test ACC 40.0 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 51 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0091
epoch 61 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0095
epoch 71 | train ACC 52.381 % | test ACC 41.1111 % | train loss 0.008
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0073
epoch 91 | train ACC 38.0952 % | test ACC 47.7778 % | train loss 0.0078
epoch 101 | train ACC 42.8571 % | test ACC 50.0 % | train loss 0.0072
epoch 111 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0071
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0069
epoch 131 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0071
epoch 141 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.0074
