dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.006
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0065
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.006
epoch 181 | train ACC 78.5714 % | test ACC 51.7241 % | train loss 0.0101
epoch 191 | train ACC 42.8571 % | test ACC 50.0 % | train loss 0.0162
8layers, Final test  ACC: 65.5172 %
Layer 1, Acc:0.7413793802261353, F:0.7882, Pr:0.7917, Auc:0.7562, Rec:0.7917
Layer 2, Acc:0.7931034564971924, F:0.824, Pr:0.8333, Auc:0.7787, Rec:0.8333
Layer 3, Acc:0.8275861740112305, F:0.8533, Pr:0.8611, Auc:0.8094, Rec:0.8611
Layer 4, Acc:0.7586206793785095, F:0.7981, Pr:0.8056, Auc:0.7574, Rec:0.8056
Layer 5, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 6, Acc:0.7241380214691162, F:0.7474, Pr:0.75, Auc:0.7149, Rec:0.75
Layer 7, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 8, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 3, max_Acc:82.758617, F:0.8533, Pr:0.8611, Auc:0.8094, Rec:0.8611
hd:8, dp:0.4, wd:0.005, layer 1 
epoch 1 | train ACC 78.5714 % | test ACC 50.0 % | train loss 0.0061
epoch 11 | train ACC 92.8571 % | test ACC 79.3103 % | train loss 0.0064
epoch 21 | train ACC 92.8571 % | test ACC 75.8621 % | train loss 0.0065
epoch 31 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0062
epoch 41 | train ACC 100.0 % | test ACC 81.0345 % | train loss 0.0059
epoch 51 | train ACC 100.0 % | test ACC 79.3103 % | train loss 0.0057
epoch 61 | train ACC 100.0 % | test ACC 77.5862 % | train loss 0.0055
epoch 71 | train ACC 100.0 % | test ACC 67.2414 % | train loss 0.0055
epoch 81 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.0054
epoch 91 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.0053
epoch 101 | train ACC 100.0 % | test ACC 63.7931 % | train loss 0.0053
epoch 111 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0053
epoch 121 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0053
epoch 131 | train ACC 100.0 % | test ACC 58.6207 % | train loss 0.0053
epoch 141 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0053
epoch 151 | train ACC 100.0 % | test ACC 56.8965 % | train loss 0.0053
epoch 161 | train ACC 100.0 % | test ACC 58.6207 % | train loss 0.0053
epoch 171 | train ACC 100.0 % | test ACC 55.1724 % | train loss 0.0053
epoch 181 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0053
epoch 191 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0053
1layers, Final test  ACC: 68.9655 %
hd:8, dp:0.4, wd:0.005, layer 2 
epoch 1 | train ACC 57.1429 % | test ACC 36.2069 % | train loss 0.0079
epoch 11 | train ACC 78.5714 % | test ACC 46.5517 % | train loss 0.0107
epoch 21 | train ACC 85.7143 % | test ACC 68.9655 % | train loss 0.0135
epoch 31 | train ACC 78.5714 % | test ACC 56.8965 % | train loss 0.028
epoch 41 | train ACC 78.5714 % | test ACC 36.2069 % | train loss 0.0168
epoch 51 | train ACC 71.4286 % | test ACC 51.7241 % | train loss 0.0131
epoch 61 | train ACC 71.4286 % | test ACC 41.3793 % | train loss 0.0144
epoch 71 | train ACC 64.2857 % | test ACC 37.931 % | train loss 0.0113
epoch 81 | train ACC 78.5714 % | test ACC 55.1724 % | train loss 0.0105
epoch 91 | train ACC 35.7143 % | test ACC 43.1034 % | train loss 0.1448
epoch 101 | train ACC 78.5714 % | test ACC 55.1724 % | train loss 0.017
epoch 111 | train ACC 78.5714 % | test ACC 41.3793 % | train loss 0.0174
epoch 121 | train ACC 50.0 % | test ACC 36.2069 % | train loss 0.0181
epoch 131 | train ACC 71.4286 % | test ACC 58.6207 % | train loss 0.0171
epoch 141 | train ACC 85.7143 % | test ACC 53.4483 % | train loss 0.0139
epoch 151 | train ACC 85.7143 % | test ACC 65.5172 % | train loss 0.0143
epoch 161 | train ACC 85.7143 % | test ACC 63.7931 % | train loss 0.0144
epoch 171 | train ACC 85.7143 % | test ACC 53.4483 % | train loss 0.0134
epoch 181 | train ACC 85.7143 % | test ACC 70.6897 % | train loss 0.0128
epoch 191 | train ACC 85.7143 % | test ACC 63.7931 % | train loss 0.0127
2layers, Final test  ACC: 60.3448 %
hd:8, dp:0.4, wd:0.005, layer 3 
epoch 1 | train ACC 57.1429 % | test ACC 43.1034 % | train loss 0.0086
epoch 11 | train ACC 57.1429 % | test ACC 58.6207 % | train loss 0.0132
epoch 21 | train ACC 71.4286 % | test ACC 60.3448 % | train loss 0.0146
epoch 31 | train ACC 57.1429 % | test ACC 56.8965 % | train loss 0.014
epoch 41 | train ACC 64.2857 % | test ACC 53.4483 % | train loss 0.0128
epoch 51 | train ACC 57.1429 % | test ACC 46.5517 % | train loss 0.0116
epoch 61 | train ACC 57.1429 % | test ACC 48.2759 % | train loss 0.0108
epoch 71 | train ACC 42.8571 % | test ACC 43.1034 % | train loss 0.0417
epoch 81 | train ACC 85.7143 % | test ACC 65.5172 % | train loss 0.0088
epoch 91 | train ACC 85.7143 % | test ACC 62.069 % | train loss 0.0087
epoch 101 | train ACC 78.5714 % | test ACC 63.7931 % | train loss 0.0083
epoch 111 | train ACC 85.7143 % | test ACC 56.8966 % | train loss 0.0081
epoch 121 | train ACC 92.8571 % | test ACC 62.069 % | train loss 0.0073
epoch 131 | train ACC 92.8571 % | test ACC 67.2414 % | train loss 0.0077
epoch 141 | train ACC 92.8571 % | test ACC 62.069 % | train loss 0.0088
epoch 151 | train ACC 92.8571 % | test ACC 63.7931 % | train loss 0.0092
epoch 161 | train ACC 100.0 % | test ACC 56.8966 % | train loss 0.0071
epoch 171 | train ACC 92.8571 % | test ACC 70.6897 % | train loss 0.0099
epoch 181 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0097
epoch 191 | train ACC 92.8571 % | test ACC 58.6207 % | train loss 0.009
3layers, Final test  ACC: 56.8966 %
hd:8, dp:0.4, wd:0.005, layer 4 
epoch 1 | train ACC 35.7143 % | test ACC 34.4828 % | train loss 0.0121
epoch 11 | train ACC 78.5714 % | test ACC 60.3448 % | train loss 0.0111
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0096
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0096
epoch 41 | train ACC 64.2857 % | test ACC 60.3448 % | train loss 0.0085
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 101 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.007
epoch 111 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.0077
epoch 121 | train ACC 78.5714 % | test ACC 68.9655 % | train loss 0.0068
epoch 131 | train ACC 85.7143 % | test ACC 67.2414 % | train loss 0.0061
epoch 141 | train ACC 85.7143 % | test ACC 67.2414 % | train loss 0.0056
epoch 151 | train ACC 85.7143 % | test ACC 68.9655 % | train loss 0.0087
epoch 161 | train ACC 92.8571 % | test ACC 75.8621 % | train loss 0.012
epoch 171 | train ACC 92.8571 % | test ACC 77.5862 % | train loss 0.014
epoch 181 | train ACC 92.8571 % | test ACC 77.5862 % | train loss 0.0129
epoch 191 | train ACC 92.8571 % | test ACC 75.8621 % | train loss 0.0124
4layers, Final test  ACC: 77.5862 %
hd:8, dp:0.4, wd:0.005, layer 5 
epoch 1 | train ACC 42.8571 % | test ACC 27.5862 % | train loss 0.0107
epoch 11 | train ACC 71.4286 % | test ACC 62.069 % | train loss 0.0095
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.011
epoch 31 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0098
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0088
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.009
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
